

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Iraq",103,"Total renewable surface water",4185,1987,88.58,"I","",""
"Iraq",103,"Total renewable surface water",4185,1992,88.58,"I","",""
"Iraq",103,"Total renewable surface water",4185,1997,88.58,"I","",""
"Iraq",103,"Total renewable surface water",4185,2002,88.58,"I","",""
"Iraq",103,"Total renewable surface water",4185,2007,88.58,"I","",""
"Iraq",103,"Total renewable surface water",4185,2012,88.58,"I","",""
"Iraq",103,"Total renewable surface water",4185,2017,88.58,"I","",""
"Iraq",103,"Total renewable groundwater",4187,1987,3.28,"","",""
"Iraq",103,"Total renewable groundwater",4187,1992,3.28,"","",""
"Iraq",103,"Total renewable groundwater",4187,1997,3.28,"","",""
"Iraq",103,"Total renewable groundwater",4187,2002,3.28,"","",""
"Iraq",103,"Total renewable groundwater",4187,2007,3.28,"","",""
"Iraq",103,"Total renewable groundwater",4187,2012,3.28,"","",""
"Iraq",103,"Total renewable groundwater",4187,2017,3.28,"","",""
"Iraq",103,"Overlap: between surface water and groundwater",4536,1987,2.0,"","",""
"Iraq",103,"Overlap: between surface water and groundwater",4536,1992,2.0,"","",""
"Iraq",103,"Overlap: between surface water and groundwater",4536,1997,2.0,"","",""
"Iraq",103,"Overlap: between surface water and groundwater",4536,2002,2.0,"","",""
"Iraq",103,"Overlap: between surface water and groundwater",4536,2007,2.0,"","",""
"Iraq",103,"Overlap: between surface water and groundwater",4536,2012,2.0,"","",""
"Iraq",103,"Overlap: between surface water and groundwater",4536,2017,2.0,"","",""
"Iraq",103,"Total renewable water resources",4188,1987,89.86,"I","",""
"Iraq",103,"Total renewable water resources",4188,1992,89.86,"I","",""
"Iraq",103,"Total renewable water resources",4188,1997,89.86,"I","",""
"Iraq",103,"Total renewable water resources",4188,2002,89.86,"I","",""
"Iraq",103,"Total renewable water resources",4188,2007,89.86,"I","",""
"Iraq",103,"Total renewable water resources",4188,2012,89.86,"I","",""
"Iraq",103,"Total renewable water resources",4188,2017,89.86,"I","",""
